"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 05 23:54:21 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","232","","io.qameta.allure.examples.junit5.AllureLinkTest","","io.qameta.allure.examples.junit5.AllureLinkTest","staticLinkTest","staticLinkTest()",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","1","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [Mike]","allureParameterizedTest description"
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","8","","io.qameta.allure.examples.junit5.AllureDescriptionTest","","io.qameta.allure.examples.junit5.AllureDescriptionTest","javadocDescriptionTest","javadocDescriptionTest()",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","36","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [John]","allureParameterizedTest description"
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","8","","io.qameta.allure.examples.junit5.AllureDescriptionTest","","io.qameta.allure.examples.junit5.AllureDescriptionTest","dynamicDescriptionTest","dynamicDescriptionTest()","Dynamic description"
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","2","","io.qameta.allure.examples.junit5.AllureDescriptionTest","","io.qameta.allure.examples.junit5.AllureDescriptionTest","annotationDescriptionTest","annotationDescriptionTest()","Static description"
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","2","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","customDynamicLabelTest","customDynamicLabelTest()",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","8","","io.qameta.allure.examples.junit5.AllureStepTest","","io.qameta.allure.examples.junit5.AllureStepTest","annotatedStepTest","annotatedStepTest()",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","42","","io.qameta.allure.examples.junit5.AllureQuickStartTest","","io.qameta.allure.examples.junit5.AllureQuickStartTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","8","","io.qameta.allure.examples.junit5.AllureAttachmentTest","","io.qameta.allure.examples.junit5.AllureAttachmentTest","annotatedAttachmentTest","annotatedAttachmentTest()",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","1","","io.qameta.allure.examples.junit5.AllureTitleTest","","io.qameta.allure.examples.junit5.AllureTitleTest","annotationTitleTest","Static name",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","1","","io.qameta.allure.examples.junit5.AllureTitleTest","","io.qameta.allure.examples.junit5.AllureTitleTest","dynamicTitleTest","Test with parameter [dynamic parameter]",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","1","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","commonDynamicLabelTest","commonDynamicLabelTest()",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","1","","io.qameta.allure.examples.junit5.AllureLinkTest","","io.qameta.allure.examples.junit5.AllureLinkTest","staticLinksTest","staticLinksTest()",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","1","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest()",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","2","","io.qameta.allure.examples.junit5.AllureStepTest","","io.qameta.allure.examples.junit5.AllureStepTest","lambdaStepTest","lambdaStepTest()",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","2","","io.qameta.allure.examples.junit5.AllureLinkTest","","io.qameta.allure.examples.junit5.AllureLinkTest","dynamicLinkTest","dynamicLinkTest()",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","7","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","commonStaticLabelTest","commonStaticLabelTest()",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","3","","io.qameta.allure.examples.junit5.AllureFixtureTest","","io.qameta.allure.examples.junit5.AllureFixtureTest","allureFixtureTest","allureFixtureTest()",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","9","","io.qameta.allure.examples.junit5.AllureAttachmentTest","","io.qameta.allure.examples.junit5.AllureAttachmentTest","dynamicAttachmentTest","dynamicAttachmentTest()",""
"passed","Sat Feb 05 23:54:22 GMT 2022","Sat Feb 05 23:54:22 GMT 2022","2","","io.qameta.allure.examples.junit5.AllureLabelsTest","","io.qameta.allure.examples.junit5.AllureLabelsTest","customStaticLabelTest","customStaticLabelTest()",""
